epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,0.85888671875,0.400390625,0.0,2.3
2,0.2337646484375,0.24462890625,0.0,1.92
3,0.163330078125,0.2158203125,0.0,2.29
4,0.13775634765625,0.2158203125,0.0,2.94
5,0.1275634765625,0.2197265625,0.0,3.24
6,0.12506103515625,0.2177734375,0.0,3.11
7,0.12481689453125,0.22314453125,0.0,3.42
8,0.1207275390625,0.22216796875,0.0,2.97
9,0.12030029296875,0.224609375,0.0,3.19
10,0.113525390625,0.22607421875,0.0,2.72
11,0.1175537109375,0.22314453125,0.0,2.92
12,0.1151123046875,0.2255859375,0.0,3.13
13,0.114990234375,0.22509765625,0.0,3.0
14,0.1070556640625,0.2255859375,0.0,3.36
15,0.1075439453125,0.2236328125,0.0,3.03
epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,0.16198356490573448,0.15621938675548588,0.0,2292.6
2,0.14761858368519246,0.15383920699451412,0.0,2301.17
3,0.14661747287411625,0.15151719239811912,0.0,2299.77
4,0.14589828407305577,0.15127534776645768,0.0,2324.34
5,0.14606014949921445,0.15207435344827586,0.0,2319.82
6,0.14580162509819325,0.15316265429075235,0.0,2331.94
7,0.14601795708955223,0.15134575822884014,0.0,2325.06
8,0.14594738069520816,0.15259324794278997,0.0,2326.31
9,0.14606436874018067,0.1542693230799373,0.0,2301.3
10,0.14622086422329145,0.1526560050940439,0.0,2296.96
11,0.14613571226924588,0.15278611138322884,0.0,2305.26
12,0.1464954984534564,0.1554494636559561,0.0,2304.99
13,0.14639692164179105,0.1528075406543887,0.0,2288.65
14,0.14604020399646506,0.15231007543103448,0.0,2312.14
