epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,7.015625,0.90625,621.57,4.02
2,2.6171875,0.525390625,621.57,3.76
3,1.55908203125,0.4052734375,621.57,3.75
4,1.259765625,0.423828125,621.57,3.81
5,1.08642578125,0.4404296875,621.57,3.76
6,0.9833984375,0.4150390625,621.57,3.72
7,0.94482421875,0.3994140625,621.57,3.7
8,0.93359375,0.4208984375,621.57,3.46
9,0.89990234375,0.4072265625,621.57,3.26
10,0.8564453125,0.427734375,621.57,3.24
epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,0.82470703125,0.4169921875,621.57,4.31
2,0.2684326171875,0.2578125,621.57,3.87
3,0.170166015625,0.20556640625,621.57,3.26
4,0.1483154296875,0.19482421875,621.57,3.53
5,0.13885498046875,0.1904296875,621.57,3.2
6,0.13165283203125,0.1865234375,621.57,2.76
