epoch,group,precision,recall,f1
1,offenseFormation,0.0,0.0,0.0
1,receiverAlignment,0.0,0.0,0.0
1,dropbackType,0.5,0.5,0.5
1,passLocationType,0.5,0.5,0.5
1,pff_runConceptPrimary,0.5,0.5,0.5
1,pff_runConceptSecondary,0.0,0.0,0.0
1,pff_passCoverage,0.0,0.0,0.0
1,pff_manZone,1.0,1.0,1.0
1,routeRanQB0,1.0,1.0,1.0
1,routeRanWR0,0.0,0.0,0.0
1,routeRanWR1,0.0,0.0,0.0
1,routeRanWR2,0.0,0.0,0.0
1,routeRanWR3,1.0,1.0,1.0
1,routeRanWR4,1.0,1.0,1.0
1,routeRanRB0,0.0,0.0,0.0
1,routeRanRB1,1.0,1.0,1.0
1,routeRanRB2,1.0,1.0,1.0
1,routeRanTE0,0.0,0.0,0.0
1,routeRanTE1,0.0,0.0,0.0
1,routeRanTE2,1.0,1.0,1.0
2,offenseFormation,0.0,0.0,0.0
2,receiverAlignment,0.0,0.0,0.0
2,dropbackType,0.5,0.5,0.5
2,passLocationType,0.5,0.5,0.5
2,pff_runConceptPrimary,0.5,0.5,0.5
2,pff_runConceptSecondary,1.0,1.0,1.0
2,pff_passCoverage,0.5,0.5,0.5
2,pff_manZone,1.0,1.0,1.0
2,routeRanQB0,1.0,1.0,1.0
2,routeRanWR0,0.0,0.0,0.0
2,routeRanWR1,0.0,0.0,0.0
2,routeRanWR2,0.0,0.0,0.0
2,routeRanWR3,1.0,1.0,1.0
2,routeRanWR4,1.0,1.0,1.0
2,routeRanRB0,0.0,0.0,0.0
2,routeRanRB1,1.0,1.0,1.0
2,routeRanRB2,1.0,1.0,1.0
2,routeRanTE0,0.0,0.0,0.0
2,routeRanTE1,1.0,1.0,1.0
2,routeRanTE2,1.0,1.0,1.0
3,offenseFormation,0.0,0.0,0.0
3,receiverAlignment,0.0,0.0,0.0
3,dropbackType,0.5,0.5,0.5
3,passLocationType,0.5,0.5,0.5
3,pff_runConceptPrimary,0.5,0.5,0.5
3,pff_runConceptSecondary,1.0,1.0,1.0
3,pff_passCoverage,0.5,0.5,0.5
3,pff_manZone,1.0,1.0,1.0
3,routeRanQB0,1.0,1.0,1.0
3,routeRanWR0,0.0,0.0,0.0
3,routeRanWR1,0.0,0.0,0.0
3,routeRanWR2,0.0,0.0,0.0
3,routeRanWR3,1.0,1.0,1.0
3,routeRanWR4,1.0,1.0,1.0
3,routeRanRB0,0.0,0.0,0.0
3,routeRanRB1,1.0,1.0,1.0
3,routeRanRB2,1.0,1.0,1.0
3,routeRanTE0,0.0,0.0,0.0
3,routeRanTE1,1.0,1.0,1.0
3,routeRanTE2,1.0,1.0,1.0
4,offenseFormation,0.0,0.0,0.0
4,receiverAlignment,0.0,0.0,0.0
4,dropbackType,0.5,0.5,0.5
4,passLocationType,0.5,0.5,0.5
4,pff_runConceptPrimary,0.5,0.5,0.5
4,pff_runConceptSecondary,1.0,1.0,1.0
4,pff_passCoverage,0.5,0.5,0.5
4,pff_manZone,1.0,1.0,1.0
4,routeRanQB0,1.0,1.0,1.0
4,routeRanWR0,0.0,0.0,0.0
